"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 21 17:59:05 CET 2021","Tue Dec 21 17:59:11 CET 2021","6317","","buy an item","","buy an item","As a user I want to add an item to the cart (example #1)","As a user I want to add an item to the cart (example #1)",""
"passed","Tue Dec 21 17:59:11 CET 2021","Tue Dec 21 17:59:12 CET 2021","1090","","buy an item","","buy an item","As a user I want to pass the order","As a user I want to pass the order",""
